item	sample	lstm	depth	sentence	grammatical	questionable	note
1	10	gulordava	1	"The man who the mechanic had <unk> offended came to be <unk> in a bloodless coup which had ordered John Anderson to arrest <unk> in the reflecting pool , but Bernstein did anyone else with collapsed <unk> that has been discredited ; this and his beards have sparked him as de facto ' <unk> ' parody , not its real threat , notably the <unk> document . <eos>"	FALSE	NA	unk
1	11	gulordava	1	"The man who the mechanic has and gives it to Bart or her fairly recently exposed friend is the former deranged Peaches , who catches him . <eos>"	FALSE	NA	Very interesting case -- problem is an ATB extraction violation. We might exclude this example
1	12	gulordava	1	"The man who the mechanic worked had to Bruce , Miss Moe , chose to catch him stew ( or <unk> ) that includes drinking cups and <unk> several hundred times his size . <eos>"	FALSE	TRUE	NA
2	10	gulordava	1	The girl who the newspaper works is quite responsive to the tongue seems to be to be exposed and washed in the muddy water . <eos>	FALSE	TRUE	"if ""seems"" is the onset of a VP coordination then this is grammatical"
2	11	gulordava	1	"The girl who the newspaper is studying is found clad in a dark black cloth for "" the little Birth ... but is low "" , starts with "" <unk> was the fashion "" and covers "" an advert emphasising us to the women 's paintings "" . <eos>"	TRUE	NA	NA
2	12	gulordava	1	The girl who the newspaper is planning to talk about in order to buy her home is never known . <eos>	TRUE	NA	NA
3	10	gulordava	1	The mouse that the cat intends to make is flaw . <eos>	TRUE	NA	NA
3	11	gulordava	1	"The mouse that the cat does ( probably neighbouring ) , so normally the Ming are called one , however , the Chinese are meant to have curved according to viewer identification and thus can only be considered the following digit taxonomy , as they both have identical multiple names . <eos>"	FALSE	NA	NA
3	12	gulordava	1	The mouse that the cat became accustomed to in particular was certain when comforted by a skeleton of <unk> home life in a later pose that would otherwise have been part of a bear 's breeding life . <eos>	TRUE	NA	NA
4	10	gulordava	1	"The author who the editor of his film was skilled Oskar Freud ( "" The Sixth Sense "" ) was a writer who had heard a project he 's based on a plane with a sleek <unk> , with massive black eyes supported by a massive cardboard cube . <eos>"	FALSE	NA	NA
4	11	gulordava	1	The author who the editor reports is to describe the event as the new year edition . <eos>	TRUE	NA	NA
4	12	gulordava	1	"The author who the editor of these accounts Robertson , Christopher Hitchens , Nick Goldberg , Suzanne Kirkland , and Ben and then new leaders were able to speak on administration , current time , language , and New South Wales accounts : news papers , embassy service personnel and the security units . <eos>"	FALSE	NA	NA
5	10	gulordava	1	The bridge that the mayor and council deemed to represent a fact kept murky responsible for the matter . <eos>	TRUE	TRUE	NA
5	11	gulordava	1	The bridge that the mayor serves to receive the mayor 's original mandate . <eos>	FALSE	TRUE	NA
5	12	gulordava	1	The bridge that the mayor used to fund the construction of the current pier was a proposed Municipal Port Authority raised by the Office of Works . <eos>	TRUE	NA	NA
6	10	gulordava	1	The man who the car is killed was joined by poor men of the Car Can . <eos>	TRUE	TRUE	OK on benefactive reading
6	11	gulordava	1	"The man who the car sees is logistical is a segment of a vehicle that induces zero traffic on the hijackers and smashes it at about 90 seconds , rather than the escape of the impending train driver . <eos>"	TRUE	NA	NA
6	12	gulordava	1	The man who the car sent to the service and guided <unk> may answer questions that may be attributed to their <unk> . <eos>	TRUE	TRUE	unk
7	10	gulordava	1	The artist who the school is seeing is Jim Oppenheimer . <eos>	TRUE	NA	NA
7	11	gulordava	1	"The artist who the school has set has been known for its exquisite workmanship , with distinctive flavor , wit , skull and profile , characteristic of <unk> conjecture and recent passages evocative of <unk> . <eos>"	TRUE	NA	NA
7	12	gulordava	1	The artist who the school provided was needed to supply the necessary mint and scholarship for either of the type of wine company . <eos>	TRUE	NA	NA
8	10	gulordava	1	"The geologist who the natives created at the end of his life included Rodin 's next project , "" The King , "" explores Mead in the hands of the superintendent and also came an <unk> tradition of providing pictorial testimony in commercial Wittenberg as an example . <eos>"	TRUE	NA	Interesting local-coherence case post-matrix clause
8	11	gulordava	1	"The geologist who the natives regarded as Christians is a breath <unk> , similar to other types of command . <eos>"	TRUE	NA	NA
8	12	gulordava	1	"The geologist who the natives owned was their fermented clay , as both with artifacts found in the gardens of ancient Egypt . <eos>"	TRUE	NA	NA
9	10	gulordava	1	The athlete who the restaurant squadron 's officers do not want to shave off is the only albino <unk> tint that can become orange . <eos>	TRUE	NA	NA
9	11	gulordava	1	"The athlete who the restaurant managed or with <unk> had to go on after the first attempt had been trained , except for his bold guide . <eos>"	FALSE	NA	unk
