item	sample	lstm	depth	sentence	grammatical	questionable	note
1	10	google-1b	1	The man who the mechanic had assumed walk along the main road to Gloucester had disappeared when he was knocked down by his fellow cyclist but behaved in a 2 in a second manner . -- He was ( without a doubt ) the fastest man in the world and should never have been allowed to become the greatest yet . </S>	TRUE	TRUE	"""have"" and number marking unclarities"
1	11	google-1b	1	"The man who the mechanic nurtured by spiralling David was a bit large , determined and remarkably professional to his ability , and surely gorgeous . </S>"	TRUE	NA	NA
1	12	google-1b	1	The man who the mechanic was driving is wrong . </S>	TRUE	NA	NA
2	10	google-1b	1	"The girl who the newspaper says named Anthony after the child agrees to willingly be killed , and sees Aiden , Lara and Mia as a covert crew member produced by paranormal powers . But the whole storyline was still puzzling and achingly mysterious , too in an age when episodes of popular magazines weren 't really getting their own show and far from constantly being published . Drew 's stewardship of viewers ' confusion was a highly detailed exercise , and it wasn 't hailed as literary or credible -- only every so often . He struggled from a false start far into Gibbs 's professional era . But as radio 's vice-chairman , Brokaw stood up for the intermittently accessible , sometimes waving life of a black radio host while sustaining an ever more relaxed sound . </S>"	TRUE	NA	NA
2	11	google-1b	1	"The girl who the newspaper has secretly snubbed for years suffered a share of the 1968 nominating fight but became known for his statements criticising homosexuality . The night was fabulous because the show had to have something interesting to say about a younger man losing all his hair to fit in Omaha . It was his habitual flouting of the Internet , and his willingness to weld into his mouth to attract a certain amount of attention , foisted him onto other people , including all manner of absurd , bigoted people on television . </S>"	TRUE	NA	NA
2	12	google-1b	1	The girl who the newspaper now calls his girlfriend has really been hateful . </S>	TRUE	NA	NA
3	10	google-1b	1	The mouse that the cat didn 't naturally bat a cuddle does not tame my behaviour . And there are no Yellow Submarine <UNK> gearheads who would wish to teach the world 's oldest dog to love . </S>	TRUE	NA	NA
3	11	google-1b	1	"The mouse that the cat had discovered when she booted them off as a token <UNK> <UNK> Radio powerhouse was watching it . Hello , Daisy , You Dumb guinea pig . We went down with him to the Amazon while he 's around there . Once his energy would have been sucked away by the interaction with the other creatures at Chimp Cloud , everything erupted . ... When he swung his car over at the neighbor 's house this morning , it was clear his leap as the bear had fallen ... it was horrifying ... he KNEW the male driver was about to want to drive him home ... unless this guy stayed , made a furious escape and then escaped ... and then heck we were at the zoo .... I 'm sure Steve will get revenge on Eileen for when he wins ! 75 min that 's a screamer he did try 50 centimetres away to have the ball knocked in by bottom-left -- so why did Dave leave tomorrow ? ... Where are the definitive Ronaldo breaches ? -- I have broad goals and I would love to do that , though i haven 't read them in the paper ."	FALSE	NA	unk
3	12	google-1b	1	The mouse that the cat threw actually got to Friday 's match ! ! </S>	TRUE	NA	NA
4	10	google-1b	1	"The author who the editor of Wisden called "" board and admire "" and has passionate , insightful , funny opinions off the ball , thinks it 's a dead cert . </S>"	TRUE	NA	NA
4	11	google-1b	1	"The author who the editor of Wisden believes is just the bird ? -- A reporter estimates three times that "" in football "" David Cameron and John Moore were peers who did not make the same comments on the basic element that England manager said were obvious and useful . -- A third player , Garry Monk , who is under contract with Charlton Athletic having received a fake text message from manager Andy Robinson , gave a failed account of how much he is paying down a squad - based later in the season . - How he will find public money on this March in the sense of losing some money using another loan or other forms of loan ... </S>"	TRUE	NA	NA
4	12	google-1b	1	"The author who the editor cites in this paragraph above believes the squad should win four of six matches . * * We have pored over about 300,000 accounts with a sigh of relief . </S>"	TRUE	NA	NA
